CCAA;país;superficieTotal;superficieTotal HA;Total Forestal;Total desarbolada;Total arbolado (G+H+I+K+L);Estado/CCAA;Local;Privado;% total privado;Vecinales;Descon;Incendios 2004;Hectáreas2004;Incendios 2005;Hectáreas2005;Incendios 2006;Hectáreas2006;Incendios 2007;Hectáreas2007;Incendios 2008;Hectáreas2008;Incendios 2009;Hectáreas2009;Incendios 2010;Hectáreas2010;Incendios 2011;Hectáreas2011;Incendios 2012;Hectáreas2012;Incendios 2013;Hectáreas2013;Incendios 2004 - 2013;Hectáreas 2004 - 2013
Andalucía;España;87599.00;8759900.00;4488995.00;1533319.00;2955676.00;463432.00;359416.00;851357.00;28.80;496.06;1164208.00;1055.00;51273.93;1397.00;14380.03;881.00;5471.48;819.00;6269.75;776.00;2895.02;1016.00;13555.84;553.00;1492.66;753.00;3053.35;852.00;12833.39;785;2880.78;8887;114.10600
Aragón;España;47720.00;4772000.00;2631234.00;1057246.00;1573988.00;77211.00;657398.00;843381.00;53.58;0.00;0.00;421.00;1234.90;711.00;2116.39;411.00;2153.68;415.00;1860.38;351.00;2489.34;443.00;19648.41;343.00;1144.04;442.00;900.92;541.00;8244.51;217;347.72;4295;40.14000
Asturias;España;10604.00;1060400.00;769124.00;324798.00;444326.00;8434.00;157261.00;281882.00;63.44;3540.00;0.00;1905.00;4732.06;2237.00;8717.87;1941.00;9543.59;1083.00;2690.31;;6685.62;2077.00;10595.72;1862.00;7995.63;1793.00;13991.71;2246.00;16616.57;1079;3331.77;17964;804.90100
Comunidad Valenciana;España;23255.00;2325500.00;1277138.00;525075.00;752063.00;63292.00;186599.00;280407.00;37.29;0.00;224161.00;487.00;1102.10;686.00;3285.12;472.00;3474.55;375.00;8224.69;326.00;730.35;427.00;2932.29;328.00;5649.50;419.00;2436.38;467.00;56931.30;335;1442.82;4322;86.20900
Canarias;España;7447.00;744700.00;;449012.00;134283.00;14121.00;53323.00;66361.00;49.42;286.47;0.00;137.00;328.64;145.00;2143.89;123.00;1612.65;139.00;35758.62;133.00;426.05;122.00;3613.85;111.00;198.68;99.00;59.17;135.00;12399.33;102;219.93;1246;56.76100
Cantbria;España;5321.00;532100.00;148659.00;148659.00;;113.00;139461.00;74682.00;;0.00;0.00;178.00;1701.52;;4872.61;418.00;4045.43;296.00;3452.83;443.00;7804.67;797.00;6700.30;764.00;7921.54;775.00;9670.67;800.00;14037.65;449;4925.11;;
Castilla y León;España;94224.00;9422400.00;4867844.00;1894843.00;2973001.00;63923.00;1101903.00;1816492.00;61.10;0.00;0.00;1942.00;15786.03;2986.00;46406.68;1697.00;15714.84;1511.00;9760.29;2094.00;16059.66;2699.00;31057.62;1173.00;8901.41;;17621.69;2603.00;;1254;12434.28;20153;217.30000
Castilla la Mancha;Espaa;79461.00;7946100.00;;898691.00;2726174.00;169944.00;549712.00;2019941.00;74.09;0.00;0.00;1364.00;5765.20;1137.00;22708.02;707.00;4617.85;694.00;2026.46;710.00;1974.86;899.00;8210.20;465.00;607.25;745.00;2181.16;1141.00;11770.79;824;4907.56;8686;64.76900
Cataluña;España;32113.00;3211300.00;5942661.00;324783.00;1617878.00;67923.00;230499.00;1327791.00;82.07;0.00;0.00;565.00;1068.18;894.00;5495.07;629.00;3404.68;579.00;1612.25;421.00;577.40;747.00;3452.97;475.00;618.88;586.00;1097.57;748.00;15026.91;602;1060.16;6246;33.41400
Extremadura;España;41634.00;4163400.00;2725196.00;832165.00;1893031.00;29309.00;121899.00;1770043.00;93.50;0.00;0.00;1623.00;16141.45;1164.00;17582.22;943.00;7111.95;748.00;6032.60;874.00;2439.44;956.00;6082.61;550.00;2244.77;906.00;4453.32;1072.00;3482.44;700;5547.74;9536;71.11900
Galicia;España;29575.00;2957500.00;;666008.00;1371406.00;20045.00;2991.00;1069493.00;77.99;312921.00;0.00;10618.00;32098.45;11973.00;57452.22;6996.00;95947.38;3157.00;7051.06;2546.00;6335.84;3970.00;10741.31;3852.00;14807.34;6342.00;42390.19;3794.00;15598.17;3581;19775.88;56829;302.19800
Islas Baleares;España;4992.00;499200.00;217490.00;44345.00;173145.00;3465.00;3581.00;179331.00;103.57;0.00;0.00;172.00;139.35;141.00;347.39;124.00;165.27;113.00;123.90;121.00;;117.00;109.58;100.00;605.84;158.00;2431.40;147.00;404.66;90;2845.45;1283;7.21800
La Rioja;Espaa;5045.00;504500.00;301928.00;135844.00;166084.00;17044.00;121188.00;31320.00;18.86;0.00;0.00;47.00;35.69;105.00;174.09;73.00;49.87;93.00;69.49;110.00;71.56;112.00;336.68;114.00;281.84;82.00;62.64;105.00;109.03;31;27.65;872;1.21900
Madrid;España;8028.00;802800.00;424253.00;163949.00;260304.00;36291.00;45919.00;187876.00;72.18;0.00;0.00;379.00;1765.23;427.00;825.39;271.00;1094.95;230.00;449.75;223.00;338.94;327.00;324.64;179.00;101.46;294.00;385.00;399.00;2381.09;286;1333.54;;
Mrcia;España;11314.00;1131400.00;208804.00;208804.00;;53904.00;61611.00;200777.00;;0.00;0.00;113.00;437.48;138.00;257.51;90.00;71.37;113.00;160.18;109.00;162.28;124.00;112.55;139.00;763.49;130.00;476.43;127.00;1479.87;112;83.35;1195;4.00500
Navarra;España;10391.00;1039100.00;605887.00;141715.00;464172.00;39572.00;296567.00;126525.00;27.26;0.00;0.00;261.00;338.24;;1370.97;450.00;770.20;504.00;473.86;595.00;1133.79;667.00;1750.12;598.00;652.26;559.00;614.79;661.00;;258;356.79;5251;9.13700
País Vasco;España;7234.00;723400.00;49587800.00;98305.00;397573.00;13067.00;158783.00;218200.00;54.88;0.00;560.27;126.00;223.19;192.00;562.02;108.00;95.09;67.00;105.61;81.00;240.31;141.00;866.02;116.00;783.29;140.00;425.14;140.00;344.81;92;170.08;1203;33.81600
