Fecha;T exterior;T impulsion;T retorno;Ten. L1;Ten. L2;Ten. L3;Int. L1;Int. L2;Int. L3
25/10/2015 0:01;17.5;7.3;10.1;;;;1.6;0;1.6
25/10/2015 0:02;17.5;7.3;10.1;;;;1.6;0;1.6
25/10/2015 0:03;17.4;7.3;10.2;;;;1.6;0;1.6
25/10/2015 0:04;17.5;7.4;10.3;;;;1.6;0;1.6
25/10/2015 0:05;17.4;7.5;10.4;;;404;1.6;0;1.6
25/10/2015 0:06;17.4;7.6;10.4;;;405;1.6;0;1.6
25/10/2015 0:07;17.4;7.6;10.4;;;405;1.6;0;1.6
25/10/2015 0:08;17.5;7.5;10.4;;;405;1.6;0;1.6
25/10/2015 0:09;17.5;7.5;10.4;;404;404;1.6;0;1.6
25/10/2015 0:10;17.5;7.5;10.3;;404;405;1.6;0;1.6
25/10/2015 0:11;17.5;7.4;10.3;;404;405;1.6;0;1.6
25/10/2015 0:12;17.5;7.4;10.3;;404;405;1.6;0;1.6
25/10/2015 0:13;17.5;7.4;10.2;405;404;405;1.6;0;1.6
25/10/2015 0:14;17.5;7.3;10.2;405;405;405;1.6;0;1.6
25/10/2015 0:15;17.5;7.2;10.2;407;406;407;1.6;0;1.6
25/10/2015 0:16;17.5;7.3;10.1;406;406;407;1.6;0;1.6
25/10/2015 0:17;17.5;7.3;10.2;405;405;405;1.6;0;1.6
25/10/2015 0:18;17.4;7.4;10.3;405;404;404;1.6;0;1.6
25/10/2015 0:19;17.4;7.5;10.4;405;404;405;1.6;0;1.6
25/10/2015 0:20;17.4;7.5;10.4;406;405;405;1.6;0;1.6
25/10/2015 0:21;7.4;7.5;10.4;406;405;405;1.6;0;1.6
25/10/2015 0:22;17.4;7.5;10.4;406;405;406;1.6;0;1.6
25/10/2015 0:23;17.4;7.4;10.3;405;404;405;1.6;0;1.7
25/10/2015 0:24;17.4;7.4;10.3;405;404;404;1.6;0;1.6
25/10/2015 0:25;17.4;7.4;10.2;405;404;405;1.6;0;1.6
25/10/2015 0:26;17.4;7.3;10.2;405;404;404;1.6;0;1.6
25/10/2015 0:27;17.4;7.3;10.1;405;405;405;1.6;0;1.6
25/10/2015 0:28;17.4;2.3;10.1;407;406;406;1.6;0;1.6
25/10/2015 0:29;17.4;7.3;10.1;407;406;407;1.6;0;1.6
25/10/2015 0:30;17.4;7.3;10.2;405;405;405;1.6;0;1.6
25/10/2015 0:31;17.4;7.4;10.3;405;404;405;1.6;0;1.6
25/10/2015 0:32;17.4;7.5;10.4;405;404;404;1.6;0;1.6
25/10/2015 0:33;17.4;7.5;10.4;404;404;404;1.6;0;1.6
25/10/2015 0:34;17.5;7.6;10.5;404;404;404;1.6;0;1.6
25/10/2015 0:35;17.5;7.6;10.4;405;404;404;1.6;0;1.6
25/10/2015 0:36;17.5;7.5;10.4;405;404;405;1.6;0;1.6
25/10/2015 0:37;17.5;7.4;10.3;405;404;404;1.6;0;1.6
25/10/2015 0:38;17.5;7.4;10.2;405;404;405;1.6;0;1.6
25/10/2015 0:39;17.6;7.4;10.2;405;404;405;1.6;0;1.6
25/10/2015 0:40;17.6;7.3;10.2;405;404;405;1.6;0;1.7
25/10/2015 0:41;17.6;7.3;10.1;405;405;405;1.6;0;1.6
25/10/2015 0:42;17.6;7.3;10.2;407;406;407;1.6;0;1.6
25/10/2015 0:43;17.6;7.2;10.1;407;406;407;1.6;0;1.6
25/10/2015 0:44;17.6;7.3;10.2;405;405;406;1.6;0;1.6
25/10/2015 0:45;17.7;7.4;10.3;405;404;405;1.6;0;1.6
25/10/2015 0:46;17.6;7.5;10.4;405;405;405;1.6;0;1.6
25/10/2015 0:47;17.7;7.5;10.5;405;404;405;1.6;0;1.6
25/10/2015 0:48;17.6;7.5;10.5;405;404;405;1.6;0;1.6
25/10/2015 0:49;17.7;7.5;10.4;405;404;405;1.6;0;1.6
25/10/2015 0:50;17.6;7.5;10.4;405;404;405;1.6;0;1.6
25/10/2015 0:51;17.7;7.5;10.3;405;405;405;1.6;0;1.6
25/10/2015 0:52;17.6;7.4;10.3;406;405;405;1.6;0;1.6
25/10/2015 0:53;17.7;7.4;10.2;406;405;405;1.6;0;1.6
